elapsed sec.,power,temp. sensor,tmu avg
0,0,107,33876
2029,0,55,34183
2031,0,56,34184
2033,0,56,34187
2035,0,56,34177
2038,0,56,34174
2040,0,56,34175
2042,0,56,34171
2044,0,57,34169
2046,0,57,34174
2049,0,57,34167
2051,0,57,34169
2053,0,57,34183
2055,0,57,34191
2058,0,57,34192
2060,0,58,34181
2062,0,58,34176
2064,0,58,34185
2066,0,58,34186
2069,0,58,34175
2071,0,58,34173
2073,0,58,34179
2075,0,58,34182
2078,0,59,34176
2080,0,59,34163
2082,0,59,34159
2084,0,59,34164
2086,0,59,34165
2089,0,59,34165
2091,0,59,34170
2093,0,59,34176
2095,0,60,34180
2098,0,60,34176
2100,0,60,34175
2102,0,60,34176
2104,0,60,34169
2107,0,60,34167
2109,0,60,34172
2111,0,60,34177
2113,0,61,34176
2115,0,61,34180
2118,0,61,34181
2120,0,61,34179
2122,0,61,34188
2124,0,61,34187
2127,0,61,34185
2129,0,61,34184
2131,0,61,34171
2133,0,61,34174
2135,0,62,34188
2138,0,62,34190
2140,0,62,34182
2142,0,62,34178
2144,0,62,34174
2147,0,62,34174
2149,0,62,34171
2151,0,62,34170
2153,0,63,34170
2155,0,63,34161
2158,0,63,34160
2160,0,63,34160
2162,0,63,34166
2164,0,63,34175
2166,0,63,34170
2169,0,63,34170
2171,0,63,34177
2173,0,63,34175
2175,0,64,34165
2178,0,64,34161
2180,0,64,34161
2182,0,64,34154
2184,0,64,34154
2187,0,64,34159
2189,0,64,34145
2191,0,64,34132
2193,0,64,34138
2195,0,65,34141
2198,0,65,34132
2200,0,65,34129
2202,0,65,34128
2204,0,65,34124
2207,0,65,34134
2209,0,65,34147
2211,0,65,34157
2213,0,65,34164
2215,0,65,34159
2218,0,66,34157
2220,0,66,34159
2222,0,66,34160
2224,0,66,34165
2227,0,66,34167
2229,0,66,34171
2231,0,66,34171
2233,0,66,34166
2235,0,66,34156
2238,0,66,34138
2240,0,67,34133
2242,0,67,34143
2244,0,67,34144
2247,0,67,34139
2249,0,67,34145
2251,0,67,34153
2253,0,67,34155
2255,0,67,34151
2258,0,67,34146
2260,0,68,34145
2262,0,68,34147
2264,0,68,34156
2267,0,68,34161
2269,0,68,34157
2271,0,68,34155
2273,0,68,34155
2275,0,68,34148
2278,0,68,34132
2280,0,68,34122
2282,0,68,34126
2284,0,69,34136
2287,0,69,34132
2289,0,69,34130
2291,0,69,34141
2293,0,69,34144
2295,0,69,34141
2298,0,69,34151
2300,0,69,34161
2302,0,69,34150
2304,0,69,34140
2307,0,70,34138
2309,0,70,34142
2311,0,70,34144
2313,0,70,34139
2315,0,70,34129
2318,0,70,34123
2320,0,70,34127
2322,0,70,34131
2324,0,70,34135
2327,0,70,34134
2329,0,70,34133
2331,0,71,34133
2333,0,71,34137
2335,0,71,34132
2338,0,71,34123
2340,0,71,34125
2342,0,71,34128
2344,0,71,34130
2347,0,71,34128
2349,0,71,34119
2351,0,71,34111
2353,0,72,34113
2355,0,72,34109
2358,0,72,34107
2360,0,72,34116
2362,0,72,34119
2364,0,72,34119
2367,0,72,34114
2369,0,72,34117
2371,0,72,34125
2373,0,72,34128
2375,0,72,34125
2378,0,73,34110
2380,0,73,34109
2382,0,73,34109
2384,0,73,34103
2387,0,73,34112
2389,0,73,34113
2391,0,73,34113
2393,0,73,34114
2395,0,73,34115
2398,0,73,34117
2400,0,73,34113
2402,0,74,34112
2404,0,74,34112
2407,0,74,34101
2409,0,74,34089
2411,0,74,34081
2413,0,74,34083
2415,0,74,34090
2418,0,74,34084
2420,0,74,34079
2422,0,74,34082
2424,0,74,34091
2427,0,74,34094
2429,0,75,34085
2431,0,75,34079
2433,0,75,34090
2435,0,75,34098
2438,0,75,34102
2440,0,75,34096
2442,0,75,34081
2444,0,75,34079
2447,0,75,34089
2449,0,75,34090
2451,0,75,34093
2453,0,76,34093
2455,0,76,34088
2458,0,76,34089
2460,0,76,34081
2462,0,76,34080
2464,0,76,34078
2467,0,76,34075
2469,0,76,34072
2471,0,76,34067
2473,0,76,34076
2475,0,76,34090
2478,0,76,34090
2480,0,76,34072
2482,0,76,34073
2484,0,77,34081
2487,0,77,34082
2489,0,77,34086
2491,0,77,34082
2493,0,77,34076
2495,0,77,34071
2498,0,77,34062
2500,0,77,34055
2502,0,77,34051
2504,0,77,34056
2507,0,77,34067
2509,0,78,34068
2511,0,78,34069
2513,0,78,34068
2515,0,78,34061
2518,0,78,34063
2520,0,78,34059
2522,0,78,34051
2524,0,78,34055
2527,0,78,34055
2529,0,78,34054
2531,0,78,34062
2533,0,78,34065
2535,0,79,34058
2538,0,79,34061
2540,0,79,34065
2542,0,79,34064
2544,0,79,34066
2547,0,79,34067
2549,0,79,34075
2551,0,79,34078
2553,0,79,34072
2555,0,79,34059
2558,0,79,34054
2560,0,79,34046
2562,0,79,34031
2564,0,80,34038
2567,0,80,34050
2569,0,80,34050
2571,0,80,34044
2573,0,80,34040
2575,0,80,34043
2578,0,80,34043
2580,0,80,34040
2582,0,80,34049
2584,0,80,34060
2587,0,80,34057
2589,0,80,34055
2591,0,80,34052
2593,0,80,34043
2595,0,81,34052
2598,0,81,34066
2600,0,81,34062
2602,0,81,34058
2604,0,81,34060
2607,0,81,34054
2609,0,81,34048
2611,0,81,34051
2613,0,81,34055
2615,0,81,34049
2618,0,81,34049
2620,0,81,34057
2622,0,81,34048
2624,0,82,34043
2627,0,82,34042
2629,0,82,34041
2631,0,82,34041
2633,0,82,34034
2635,0,82,34030
2638,0,82,34024
2640,0,82,34020
2642,0,82,34026
2644,0,82,34027
2647,0,82,34019
2649,0,82,34018
2651,0,82,34030
2653,0,82,34032
2655,0,82,34015
2658,0,83,34011
2660,0,83,34011
2662,0,83,34009
2664,0,83,34007
2667,0,83,34001
2669,0,83,34009
2671,0,83,34012
2673,0,83,34008
2675,0,83,34008
2678,0,83,34008
2680,0,83,34013
2682,0,83,34016
2684,0,83,34013
2687,0,83,34006
2689,0,83,34005
2691,0,83,34005
2693,0,84,34003
2695,0,84,34017
2698,0,84,34018
2700,0,84,34012
2702,0,84,34020
2704,0,84,34020
2707,0,84,34009
2709,0,84,34005
2711,0,84,34000
2713,0,84,34000
2715,0,84,34006
2718,0,84,34010
2720,0,84,34009
2722,0,84,33995
2724,0,84,33991
2727,0,84,33996
2729,0,84,34001
2731,0,84,34012
2733,0,84,34012
2735,0,85,34002
2738,0,85,34005
2740,0,85,34004
2742,0,85,33994
2744,0,85,33989
2747,0,85,33982
2749,0,85,33982
2751,0,85,33990
2753,0,85,33989
2755,0,85,33988
2758,0,85,33995
2760,0,85,33994
2762,0,85,33986
2764,0,85,33989
2767,0,86,34004
2769,0,86,34017
2771,0,86,34018
2773,0,86,34005
2775,0,86,33994
2778,0,86,33997
2780,0,86,33997
2782,0,86,33998
2784,0,86,33997
2787,0,86,33996
2789,0,86,34002
2791,0,86,34001
2793,0,86,33999
2795,0,87,34002
2798,0,87,34012
2800,0,87,34013
2802,0,87,34005
2804,0,87,34002
2807,0,87,33997
2809,0,87,33992
2811,0,87,33990
2813,0,87,33996
2815,0,87,34006
2818,0,87,34007
2820,0,87,34000
2822,0,87,34001
2824,0,87,34005
2827,0,87,34003
2829,0,87,34005
2831,0,87,34006
2833,0,88,34003
2835,0,88,33997
2838,0,88,34000
2840,0,88,34008
2842,0,88,34006
2844,0,88,34007
2847,0,88,34017
2849,0,88,34011
2851,0,88,33998
2853,0,88,33997
2855,0,88,33989
2858,0,88,33981
2860,0,88,33983
2862,0,88,33986
2864,0,88,33984
2867,0,88,33982
2869,0,88,33982
2871,0,88,33981
2873,0,88,33982
2876,0,88,33980
2878,0,89,33974
2880,0,89,33970
2882,0,89,33971
2884,0,89,33972
2887,0,89,33971
2889,0,89,33968
2891,0,89,33972
2893,0,89,33969
2896,0,89,33968
2898,0,89,33966
2900,0,89,33968
2902,0,89,33970
2904,0,89,33967
2907,0,89,33965
2909,0,89,33967
2911,0,89,33975
2913,0,89,33972
2916,0,89,33983
2918,0,89,33997
2920,0,89,33991
2922,0,89,33985
2924,0,90,33984
2927,0,90,33983
2929,0,90,33980
2931,0,90,33976
2933,0,90,33975
2935,0,90,33978
2938,0,90,33987
2940,0,90,33991
2942,0,90,33990
2944,0,90,33986
2947,0,90,33983
2949,0,90,33984
2951,0,90,33980
2953,0,90,33974
2956,0,90,33975
2958,0,90,33979
2960,0,90,33978
2962,0,90,33974
2964,0,90,33971
2967,0,90,33973
2969,0,90,33975
2971,0,90,33965
2973,0,90,33963
2976,0,91,33962
2978,0,91,33962
2980,0,91,33970
2982,0,91,33968
2984,0,91,33967
2987,0,91,33975
2989,0,91,33977
2991,0,91,33970
2993,0,91,33962
2996,0,91,33961
2998,0,91,33969
3000,0,91,33970
3002,0,91,33956
3004,0,91,33947
3007,0,91,33947
3009,0,91,33940
3011,0,91,33936
3013,0,91,33937
3016,0,91,33940
3018,0,92,33950
3020,0,92,33953
3022,0,92,33948
3024,0,92,33946
3027,0,92,33951
3029,0,92,33948
3031,0,92,33933
3033,0,92,33935
3036,0,92,33947
3038,0,92,33949
3040,0,92,33945
3042,0,92,33943
3044,0,92,33948
3047,0,92,33946
3049,0,92,33950
3051,0,92,33954
3053,0,92,33954
3056,0,92,33962
3058,0,92,33956
3060,0,92,33944
3062,0,92,33949
3064,0,92,33950
3067,0,92,33944
3069,0,92,33939
3071,0,92,33935
3073,0,93,33937
3076,0,93,33941
3078,0,93,33938
3080,0,93,33931
3082,0,93,33934
3084,0,93,33947
3087,0,93,33953
3089,0,93,33954
3091,0,93,33953
3093,0,93,33949
3096,0,93,33946
3098,0,93,33943
3100,0,93,33943
3102,0,93,33945
3104,0,93,33954
3107,0,93,33952
3109,0,93,33939
3111,0,93,33936
3113,0,93,33932
3116,0,93,33935
3118,0,93,33944
3120,0,93,33942
3122,0,93,33940
3124,0,93,33948
3127,0,93,33942
3129,0,94,33930
3131,0,94,33927
3133,0,94,33928
3136,0,94,33931
3138,0,94,33933
3140,0,94,33936
3142,0,94,33937
3144,0,94,33931
3147,0,94,33927
3149,0,94,33928
3151,0,94,33931
3153,0,94,33931
3156,0,94,33924
3158,0,94,33922
3160,0,94,33928
3162,0,94,33934
3164,0,94,33933
3167,0,94,33929
3169,0,94,33931
3171,0,94,33936
3173,0,94,33936
3176,0,94,33930
3178,0,94,33920
3180,0,94,33912
3182,0,94,33910
3184,0,94,33916
3187,0,94,33916
3189,0,94,33912
3191,0,94,33915
3193,0,94,33910
3196,0,94,33902
3198,0,95,33908
3200,0,95,33910
3202,0,95,33916
3204,0,95,33919
3207,0,95,33918
3209,0,95,33923
3211,0,95,33926
3213,0,95,33933
3216,0,95,33934
3218,0,95,33938
3220,0,95,33944
3222,0,95,33936
3224,0,95,33924
3227,0,95,33922
3229,0,95,33926
3231,0,95,33923
3233,0,95,33915
3236,0,95,33916
3238,0,95,33923
3240,0,95,33928
3242,0,95,33929
3244,0,95,33929
3247,0,95,33929
3249,0,95,33921
3251,0,96,33915
3253,0,96,33927
3256,0,96,33932
3258,0,96,33926
3260,0,96,33920
3262,0,96,33915
3264,0,96,33914
3267,0,96,33906
3269,0,96,33901
3271,0,96,33906
3273,0,96,33906
3276,0,96,33903
3278,0,96,33906
3280,0,96,33907
3282,0,96,33910
3284,0,96,33921
3287,0,96,33912
3289,0,96,33910
3291,0,96,33919
3293,0,96,33919
3296,0,96,33915
3298,0,96,33909
3300,0,96,33907
3302,0,96,33914
3304,0,96,33928
3307,0,96,33929
3309,0,96,33917
3311,0,96,33913
3313,0,96,33907
3316,0,96,33896
3318,0,96,33894
3320,0,96,33898
3322,0,97,33902
3324,0,97,33904
3327,0,97,33904
3329,0,97,33908
3331,0,97,33912
3333,0,97,33914
3336,0,97,33917
3338,0,97,33915
3340,0,97,33916
3342,0,97,33922
3344,0,97,33918
3347,0,97,33910
3349,0,97,33907
3351,0,97,33911
3353,0,97,33924
3356,0,97,33931
3358,0,97,33923
3360,0,97,33917
3362,0,97,33919
3364,0,97,33921
3367,0,97,33927
3369,0,97,33939
3371,0,97,33943
3373,0,97,33932
3376,0,97,33928
3378,0,97,33931
3380,0,97,33930
3382,0,97,33927
3384,0,97,33924
3387,0,97,33925
3389,0,97,33933
3391,0,97,33929
3393,0,97,33916
3396,0,97,33922
3398,0,97,33930
3400,0,97,33918
3402,0,98,33912
3404,0,98,33920
3407,0,98,33920
3409,0,98,33922
3411,0,98,33921
3413,0,98,33923
3416,0,98,33933
3418,0,98,33930
3420,0,98,33917
3422,0,98,33914
3424,0,98,33916
3427,0,98,33908
3429,0,98,33909
3431,0,98,33913
3433,0,98,33913
3436,0,98,33920
3438,0,98,33927
3440,0,98,33928
3442,0,98,33933
3444,0,98,33937
3447,0,98,33932
3449,0,98,33927
3451,0,98,33922
3453,0,98,33926
3456,0,98,33923
3458,0,98,33923
3460,0,98,33924
3462,0,98,33918
3464,0,98,33913
3467,0,98,33914
3469,0,98,33920
3471,0,98,33915
3473,0,98,33915
3476,0,98,33917
3478,0,98,33910
3480,0,98,33908
3482,0,98,33912
3484,0,99,33912
3487,0,98,33912
3489,0,99,33914
3491,0,99,33916
3493,0,99,33914
3496,0,99,33908
3498,0,99,33911
3500,0,99,33920
3502,0,99,33918
3504,0,99,33915
3507,0,99,33918
3509,0,99,33912
3511,0,99,33903
3513,0,99,33898
3516,0,99,33899
3518,0,99,33904
3520,0,99,33911
3522,0,99,33919
3524,0,99,33922
3527,0,99,33918
3529,0,99,33915
3531,0,99,33920
3533,0,99,33921
3536,0,99,33915
3538,0,99,33918
3540,0,99,33932
3542,0,99,33933
3544,0,99,33927
3547,0,99,33927
3549,0,99,33921
3551,0,99,33913
3553,0,99,33923
3556,0,99,33935
3558,0,99,33926
3560,0,99,33917
3562,0,99,33923
3564,0,99,33918
3567,0,99,33902
3569,0,99,33902
3571,0,99,33915
3573,0,99,33921
3576,0,99,33925
3578,0,99,33928
3580,0,99,33924
3582,0,99,33919
3584,0,99,33919
3587,0,99,33929
3589,0,99,33928
3591,0,99,33915
3593,0,99,33909
3596,0,99,33914
3598,0,100,33924
3600,0,100,33924
3602,0,100,33924
3604,0,100,33928
3607,0,100,33926
3609,0,100,33919
3611,0,100,33914
3613,0,100,33913
3616,0,100,33911
3618,0,100,33909
3620,0,100,33915
3622,0,100,33913
3624,0,100,33911
3627,0,100,33913
3629,0,100,33904
3631,0,100,33906
3633,0,100,33915
3636,0,100,33914
3638,0,100,33921
3640,0,100,33924
3642,0,100,33920
3645,0,100,33922
3647,0,100,33914
3649,0,100,33910
3651,0,100,33913
3653,0,100,33910
3656,0,100,33918
3658,0,100,33919
3660,0,100,33918
3662,0,100,33920
3665,0,100,33916
3667,0,100,33918
3669,0,100,33918
3671,0,100,33924
3673,0,100,33928
3676,0,100,33928
3678,0,100,33932
3680,0,100,33936
3682,0,101,33935
3685,0,101,33933
3687,0,101,33933
3689,0,101,33929
3691,0,101,33923
3693,0,101,33924
3696,0,101,33921
3698,0,101,33912
3700,0,101,33914
3702,0,101,33920
3704,0,101,33930
3707,0,101,33926
3709,0,101,33915
3711,0,101,33921
3713,0,101,33922
3716,0,101,33916
3718,0,101,33905
3720,0,101,33897
3722,0,101,33906
3725,0,101,33914
3727,0,101,33912
3729,0,101,33913
3731,0,101,33909
3733,0,101,33907
3736,0,101,33912
3738,0,101,33909
3740,0,101,33905
3742,0,101,33917
3745,0,101,33924
3747,0,101,33918
3749,0,101,33915
3751,0,101,33917
3753,0,101,33912
3756,0,101,33908
3758,0,101,33905
3760,0,101,33905
3762,0,101,33909
3765,0,101,33914
3767,0,101,33917
3769,0,101,33909
3771,0,101,33903
3773,0,101,33899
3776,0,101,33897
3778,0,101,33900
3780,0,101,33906
3782,0,101,33903
3785,0,101,33899
3787,0,101,33900
3789,0,101,33900
3791,0,101,33912
3793,0,101,33923
3796,0,101,33922
3798,0,101,33921
3800,0,101,33917
3802,0,101,33917
3805,0,101,33918
3807,0,101,33924
3809,0,101,33927
3811,0,102,33914
3813,0,102,33906
3816,0,102,33911
3818,0,102,33919
3820,0,102,33917
3822,0,102,33909
3825,0,102,33909
3827,0,102,33918
3829,0,102,33924
3831,0,102,33922
3833,0,102,33918
3836,0,102,33914
3838,0,102,33912
3840,0,102,33913
3842,0,102,33914
3845,0,102,33912
3847,0,102,33909
3849,0,102,33911
3851,0,102,33916
3853,0,102,33916
3856,0,102,33919
3858,0,102,33923
3860,0,102,33926
3862,0,102,33924
3865,0,102,33918
3867,0,102,33911
3869,0,102,33910
3871,0,102,33913
3873,0,102,33912
3876,0,102,33912
3878,0,102,33912
3880,0,102,33915
3882,0,102,33912
3885,0,102,33915
3887,0,102,33917
3889,0,102,33912
3891,0,102,33913
3893,0,102,33916
3896,0,102,33908
3898,0,102,33887
3900,0,102,33881
3902,0,102,33878
3905,0,102,33882
3907,0,102,33894
3909,0,102,33893
3911,0,102,33894
3913,0,102,33893
3916,0,102,33895
3918,0,102,33900
3920,0,102,33899
3922,0,102,33897
3925,0,102,33898
3927,0,102,33892
3929,0,102,33886
3931,0,102,33887
3933,0,102,33888
3936,0,102,33887
3938,0,102,33882
3940,0,102,33884
3942,0,102,33887
3945,0,102,33888
3947,0,102,33889
3949,0,102,33886
3951,0,102,33889
3953,0,102,33896
3956,0,102,33909
3958,0,102,33910
3960,0,102,33895
3962,0,102,33889
3965,0,102,33890
3967,0,102,33902
3969,0,102,33904
3971,0,102,33895
3973,0,102,33889
3976,0,102,33895
3978,0,102,33902
3980,0,102,33895
3982,0,102,33902
3985,0,102,33904
3987,0,103,33900
3989,0,103,33892
3991,0,102,33880
3993,0,103,33874
3996,0,102,33876
3998,0,103,33874
4000,0,103,33878
4002,0,103,33886
4005,0,103,33884
4007,0,103,33886
4009,0,103,33885
4011,0,103,33886
4013,0,103,33898
4016,0,103,33905
4018,0,103,33898
4020,0,103,33891
4022,0,103,33900
4025,0,103,33901
4027,0,103,33894
4029,0,103,33889
4031,0,103,33877
4033,0,103,33874
4036,0,103,33869
4038,0,103,33871
4040,0,103,33885
4042,0,103,33887
4045,0,103,33887
4047,0,103,33888
4049,0,103,33892
4051,0,103,33885
4053,0,103,33877
4056,0,103,33883
4058,0,103,33886
4060,0,103,33887
4062,0,103,33893
4065,0,103,33895
4067,0,103,33899
4069,0,103,33897
4071,0,103,33888
4073,0,103,33884
4076,0,103,33883
4078,0,103,33883
4080,0,103,33879
4082,0,103,33890
4085,0,103,33899
4087,0,103,33889
4089,0,103,33886
4091,0,103,33892
4093,0,103,33901
4096,0,103,33899
4098,0,103,33892
4100,0,103,33889
4102,0,103,33883
4105,0,103,33880
4107,0,103,33881
4109,0,103,33891
4111,0,103,33892
4113,0,103,33895
4116,0,103,33901
4118,0,103,33892
4120,0,103,33880
4122,0,103,33877
4125,0,103,33874
4127,0,103,33861
4129,0,103,33863
4131,0,103,33879
4133,0,103,33884
4136,0,103,33890
4138,0,103,33891
4140,0,103,33886
4142,0,103,33885
4145,0,103,33873
4147,0,103,33861
4149,0,103,33857
4151,0,103,33867
4153,0,103,33883
4156,0,103,33888
4158,0,103,33889
4160,0,103,33880
4162,0,103,33875
4165,0,103,33879
4167,0,103,33880
4169,0,103,33881
4171,0,103,33880
4173,0,103,33875
4176,0,103,33885
4178,0,103,33885
4180,0,103,33880
4182,0,103,33877
4185,0,103,33869
4187,0,103,33866
4189,0,103,33860
4191,0,103,33859
4193,0,103,33865
4196,0,103,33863
4198,0,103,33863
4200,0,103,33868
4202,0,103,33868
4205,0,103,33866
4207,0,103,33864
4209,0,103,33862
4211,0,103,33858
4213,0,103,33859
4216,0,103,33868
4218,0,103,33868
4220,0,103,33860
4222,0,103,33854
4225,0,103,33862
4227,0,103,33862
4229,0,103,33861
4231,0,103,33859
4233,0,103,33863
4236,0,103,33871
4238,0,103,33868
4240,0,103,33864
4242,0,103,33860
4245,0,103,33857
4247,0,103,33863
4249,0,103,33869
4251,0,103,33875
4253,0,103,33881
4256,0,103,33882
4258,0,103,33880
4260,0,103,33871
4262,0,104,33874
4265,0,104,33878
4267,0,104,33879
4269,0,104,33873
4271,0,104,33864
4273,0,104,33868
4276,0,104,33876
4278,0,104,33881
4280,0,104,33883
4282,0,104,33885
4285,0,104,33886
4287,0,104,33880
4289,0,104,33877
4291,0,104,33876
4293,0,104,33872
4296,0,104,33866
4298,0,104,33864
4300,0,104,33859
4302,0,104,33854
4305,0,104,33854
4307,0,104,33857
4309,0,104,33859
4311,0,104,33848
4313,0,104,33849
4316,0,104,33865
4318,0,104,33867
4320,0,104,33870
4322,0,104,33879
4325,0,104,33881
4327,0,104,33888
4329,0,104,33891
4331,0,104,33882
4333,0,104,33878
4336,0,104,33873
4338,0,104,33871
4340,0,104,33874
4342,0,104,33874
4345,0,104,33878
4347,0,104,33880
4349,0,104,33874
4351,0,104,33877
4353,0,104,33884
4356,0,104,33883
4358,0,104,33883
4360,0,104,33880
4362,0,104,33882
4365,0,104,33885
4367,0,104,33880
4369,0,104,33881
4371,0,104,33887
4373,0,104,33888
4376,0,104,33883
4378,0,104,33873
4380,0,104,33865
4382,0,104,33868
4385,0,104,33878
4387,0,104,33874
4389,0,104,33868
4391,0,104,33870
4393,0,104,33871
4396,0,104,33868
4398,0,104,33868
4400,0,104,33866
4402,0,104,33862
4405,0,104,33873
4407,0,104,33878
4409,0,104,33876
4411,0,104,33880
4414,0,104,33884
4416,0,104,33882
4418,0,104,33880
4420,0,104,33882
4422,0,104,33884
4425,0,104,33884
4427,0,104,33883
4429,0,104,33886
4431,0,104,33886
4434,0,104,33886
4436,0,104,33888
4438,0,104,33885
4440,0,104,33888
4442,0,104,33893
4445,0,104,33885
4447,0,104,33872
4449,0,104,33879
4451,0,104,33886
4454,0,104,33876
4456,0,104,33860
4458,0,104,33849
4460,0,104,33857
4462,0,104,33863
4465,0,104,33856
4467,0,104,33851
4469,0,104,33860
4471,0,104,33866
4474,0,104,33865
4476,0,104,33864
4478,0,104,33859
4480,0,104,33853
4482,0,104,33852
4485,0,104,33851
4487,0,104,33851
4489,0,104,33856
4491,0,104,33853
4494,0,104,33853
4496,0,104,33862
4498,0,104,33853
4500,0,104,33848
4502,0,104,33861
4505,0,104,33869
4507,0,104,33873
4509,0,104,33878
4511,0,104,33887
4514,0,104,33877
4516,0,104,33871
4518,0,104,33869
4520,0,104,33856
4522,0,104,33855
4525,0,104,33873
4527,0,104,33883
4529,0,104,33886
4531,0,104,33888
4534,0,104,33880
4536,0,104,33878
4538,0,104,33887
4540,0,104,33885
4542,0,104,33883
4545,0,104,33891
4547,0,104,33884
4549,0,104,33878
4551,0,104,33887
4554,0,104,33888
4556,0,104,33880
4558,0,104,33871
4560,0,104,33865
4562,0,104,33862
4565,0,104,33857
4567,0,104,33864
4569,0,104,33875
4571,0,104,33879
4574,0,104,33879
4576,0,104,33876
4578,0,104,33872
4580,0,104,33875
4582,0,104,33880
4585,0,104,33872
4587,0,104,33868
4589,0,104,33876
4591,0,104,33872
4594,0,104,33870
4596,0,104,33876
4598,0,104,33870
4600,0,104,33865
4602,0,104,33867
4605,0,104,33868
4607,0,104,33864
4609,0,104,33858
4611,0,104,33866
4614,0,104,33878
4616,0,104,33881
